2021-10-18 22:05:13 - INFO - saving to ./results/BLResNet18
2021-10-18 22:05:13 - DEBUG - run arguments: Namespace(results_dir='./results', save='BLResNet18', dataset='rml', model='resnet_binary', input_size=None, model_config='', type='torch.cuda.FloatTensor', gpus='0', workers=8, epochs=200, start_epoch=0, batch_size=256, optimizer='SGD', lr=0.1, momentum=0.9, weight_decay=0.0001, print_freq=100, resume='', evaluate=None)
2021-10-18 22:05:13 - INFO - creating model resnet_binary
2021-10-18 22:05:13 - INFO - created model with configuration: {'input_size': None, 'dataset': 'rml'}
2021-10-18 22:05:13 - INFO - number of parameters: 736312
2021-10-18 22:05:30 - INFO - training regime: {0: {'optimizer': 'SGD', 'lr': 0.05}, 101: {'lr': 0.001}, 142: {'lr': 0.0005}, 184: {'lr': 0.0001}, 220: {'lr': 1e-05}}
2021-10-18 22:05:31 - DEBUG - OPTIMIZER - setting method = SGD
2021-10-18 22:05:31 - DEBUG - OPTIMIZER - setting lr = 0.05
2021-10-18 22:09:34 - INFO - TRAINING - Epoch: [0][3400/7488]	Time 0.071 (0.072)	Data 0.000 (0.000)	Loss 3.1738 (3.1940)	Prec@1 5.859 (4.317)	Prec@5 21.484 (21.014)
2021-10-18 22:09:41 - INFO - TRAINING - Epoch: [0][3500/7488]	Time 0.072 (0.072)	Data 0.000 (0.000)	Loss 3.1872 (3.1937)	Prec@1 4.297 (4.314)	Prec@5 18.359 (21.005)
2021-10-18 22:09:48 - INFO - TRAINING - Epoch: [0][3600/7488]	Time 0.072 (0.072)	Data 0.000 (0.000)	Loss 3.1858 (3.1935)	Prec@1 5.469 (4.313)	Prec@5 19.922 (21.013)
2021-10-18 22:09:56 - INFO - TRAINING - Epoch: [0][3700/7488]	Time 0.072 (0.072)	Data 0.000 (0.000)	Loss 3.1731 (3.1932)	Prec@1 5.859 (4.310)	Prec@5 20.312 (21.006)
2021-10-18 22:10:03 - INFO - TRAINING - Epoch: [0][3800/7488]	Time 0.072 (0.072)	Data 0.000 (0.000)	Loss 3.1796 (3.1930)	Prec@1 5.859 (4.310)	Prec@5 26.172 (21.008)
2021-10-18 22:10:10 - INFO - TRAINING - Epoch: [0][3900/7488]	Time 0.074 (0.072)	Data 0.000 (0.000)	Loss 3.1885 (3.1928)	Prec@1 3.125 (4.309)	Prec@5 22.656 (21.009)
2021-10-18 22:10:17 - INFO - TRAINING - Epoch: [0][4000/7488]	Time 0.069 (0.072)	Data 0.000 (0.000)	Loss 3.1763 (3.1926)	Prec@1 5.859 (4.307)	Prec@5 17.969 (21.009)
2021-10-18 22:10:24 - INFO - TRAINING - Epoch: [0][4100/7488]	Time 0.073 (0.072)	Data 0.000 (0.000)	Loss 3.1781 (3.1924)	Prec@1 4.688 (4.302)	Prec@5 19.531 (21.011)
2021-10-18 22:10:32 - INFO - TRAINING - Epoch: [0][4200/7488]	Time 0.073 (0.072)	Data 0.000 (0.000)	Loss 3.1867 (3.1922)	Prec@1 3.125 (4.299)	Prec@5 16.797 (21.010)
2021-10-18 22:10:39 - INFO - TRAINING - Epoch: [0][4300/7488]	Time 0.072 (0.072)	Data 0.000 (0.000)	Loss 3.1738 (3.1920)	Prec@1 3.125 (4.302)	Prec@5 21.484 (21.000)
2021-10-18 22:10:46 - INFO - TRAINING - Epoch: [0][4400/7488]	Time 0.072 (0.072)	Data 0.000 (0.000)	Loss 3.1866 (3.1918)	Prec@1 3.125 (4.301)	Prec@5 21.484 (21.006)
2021-10-18 22:10:53 - INFO - TRAINING - Epoch: [0][4500/7488]	Time 0.074 (0.072)	Data 0.000 (0.000)	Loss 3.1847 (3.1917)	Prec@1 3.125 (4.298)	Prec@5 17.188 (21.000)
2021-10-18 22:11:00 - INFO - TRAINING - Epoch: [0][4600/7488]	Time 0.074 (0.072)	Data 0.000 (0.000)	Loss 3.1861 (3.1915)	Prec@1 4.688 (4.300)	Prec@5 20.703 (21.008)
2021-10-18 22:11:08 - INFO - TRAINING - Epoch: [0][4700/7488]	Time 0.072 (0.072)	Data 0.000 (0.000)	Loss 3.1859 (3.1913)	Prec@1 3.906 (4.299)	Prec@5 21.875 (21.003)
2021-10-18 22:11:15 - INFO - TRAINING - Epoch: [0][4800/7488]	Time 0.071 (0.072)	Data 0.000 (0.000)	Loss 3.1786 (3.1912)	Prec@1 4.297 (4.298)	Prec@5 16.797 (21.000)
2021-10-18 22:11:22 - INFO - TRAINING - Epoch: [0][4900/7488]	Time 0.073 (0.072)	Data 0.000 (0.000)	Loss 3.1910 (3.1910)	Prec@1 2.734 (4.297)	Prec@5 23.438 (21.003)
2021-10-18 22:11:29 - INFO - TRAINING - Epoch: [0][5000/7488]	Time 0.072 (0.072)	Data 0.000 (0.000)	Loss 3.1899 (3.1909)	Prec@1 4.688 (4.297)	Prec@5 20.312 (21.002)
2021-10-18 22:11:36 - INFO - TRAINING - Epoch: [0][5100/7488]	Time 0.070 (0.072)	Data 0.000 (0.000)	Loss 3.1938 (3.1908)	Prec@1 3.125 (4.298)	Prec@5 23.438 (21.006)
2021-10-18 22:11:44 - INFO - TRAINING - Epoch: [0][5200/7488]	Time 0.071 (0.072)	Data 0.000 (0.000)	Loss 3.1681 (3.1906)	Prec@1 5.078 (4.297)	Prec@5 30.469 (21.005)
2021-10-18 22:11:51 - INFO - TRAINING - Epoch: [0][5300/7488]	Time 0.073 (0.072)	Data 0.000 (0.000)	Loss 3.1917 (3.1905)	Prec@1 5.469 (4.302)	Prec@5 20.703 (21.009)
2021-10-18 22:11:58 - INFO - TRAINING - Epoch: [0][5400/7488]	Time 0.072 (0.072)	Data 0.000 (0.000)	Loss 3.1833 (3.1904)	Prec@1 4.688 (4.307)	Prec@5 21.875 (21.013)
2021-10-18 22:12:05 - INFO - TRAINING - Epoch: [0][5500/7488]	Time 0.072 (0.072)	Data 0.000 (0.000)	Loss 3.1957 (3.1903)	Prec@1 3.906 (4.308)	Prec@5 19.922 (21.015)
2021-10-18 22:12:12 - INFO - TRAINING - Epoch: [0][5600/7488]	Time 0.070 (0.072)	Data 0.000 (0.000)	Loss 3.1884 (3.1901)	Prec@1 2.344 (4.308)	Prec@5 19.531 (21.023)
2021-10-18 22:12:20 - INFO - TRAINING - Epoch: [0][5700/7488]	Time 0.072 (0.072)	Data 0.000 (0.000)	Loss 3.1895 (3.1900)	Prec@1 3.125 (4.313)	Prec@5 17.969 (21.028)
2021-10-18 22:12:27 - INFO - TRAINING - Epoch: [0][5800/7488]	Time 0.071 (0.072)	Data 0.000 (0.000)	Loss 3.1801 (3.1899)	Prec@1 3.906 (4.313)	Prec@5 24.609 (21.031)
2021-10-18 22:12:34 - INFO - TRAINING - Epoch: [0][5900/7488]	Time 0.075 (0.072)	Data 0.000 (0.000)	Loss 3.1865 (3.1898)	Prec@1 5.469 (4.319)	Prec@5 21.484 (21.038)
2021-10-18 22:12:41 - INFO - TRAINING - Epoch: [0][6000/7488]	Time 0.073 (0.072)	Data 0.000 (0.000)	Loss 3.1797 (3.1897)	Prec@1 3.906 (4.315)	Prec@5 22.656 (21.032)
2021-10-18 22:12:48 - INFO - TRAINING - Epoch: [0][6100/7488]	Time 0.073 (0.072)	Data 0.000 (0.000)	Loss 3.1873 (3.1896)	Prec@1 2.734 (4.311)	Prec@5 20.312 (21.025)
