2021-09-26 13:35:05 - INFO - saving to ./results/RML_resnet_2018.01A_BNN
2021-09-26 13:35:05 - DEBUG - run arguments: Namespace(results_dir='./results', save='RML_resnet_2018.01A_BNN', dataset='rml', model='resnet_binary', input_size=None, model_config='', type='torch.cuda.FloatTensor', gpus='0', workers=8, epochs=200, start_epoch=0, batch_size=256, optimizer='SGD', lr=0.1, momentum=0.9, weight_decay=0.0001, print_freq=100, resume='', evaluate=None)
2021-09-26 13:35:05 - INFO - creating model resnet_binary
2021-09-26 13:35:05 - INFO - created model with configuration: {'input_size': None, 'dataset': 'rml'}
2021-09-26 13:35:05 - INFO - number of parameters: 736312
2021-09-26 13:35:23 - INFO - training regime: {0: {'optimizer': 'SGD', 'lr': 0.05}, 101: {'lr': 0.001}, 142: {'lr': 0.0005}, 184: {'lr': 0.0001}, 220: {'lr': 1e-05}}
2021-09-26 13:35:23 - DEBUG - OPTIMIZER - setting method = SGD
2021-09-26 13:35:23 - DEBUG - OPTIMIZER - setting lr = 0.05
2021-09-26 13:40:08 - INFO - TRAINING - Epoch: [0][3900/7488]	Time 0.073 (0.073)	Data 0.000 (0.001)	Loss 35.5910 (28.2647)	Prec@1 4.297 (4.168)	Prec@5 17.969 (20.848)
2021-09-26 13:40:15 - INFO - TRAINING - Epoch: [0][4000/7488]	Time 0.073 (0.073)	Data 0.000 (0.001)	Loss 29.6175 (28.2835)	Prec@1 2.734 (4.167)	Prec@5 19.531 (20.857)
2021-09-26 13:40:23 - INFO - TRAINING - Epoch: [0][4100/7488]	Time 0.070 (0.073)	Data 0.000 (0.001)	Loss 30.3836 (28.3092)	Prec@1 3.906 (4.164)	Prec@5 19.141 (20.862)
2021-09-26 13:40:30 - INFO - TRAINING - Epoch: [0][4200/7488]	Time 0.073 (0.073)	Data 0.000 (0.001)	Loss 27.7858 (28.3430)	Prec@1 5.469 (4.164)	Prec@5 18.359 (20.857)
2021-09-26 13:40:37 - INFO - TRAINING - Epoch: [0][4300/7488]	Time 0.073 (0.073)	Data 0.000 (0.001)	Loss 35.6267 (28.3467)	Prec@1 1.953 (4.165)	Prec@5 23.047 (20.859)
2021-09-26 13:40:44 - INFO - TRAINING - Epoch: [0][4400/7488]	Time 0.070 (0.073)	Data 0.000 (0.001)	Loss 34.2141 (28.3731)	Prec@1 5.859 (4.166)	Prec@5 19.922 (20.861)
2021-09-26 13:40:52 - INFO - TRAINING - Epoch: [0][4500/7488]	Time 0.070 (0.073)	Data 0.000 (0.001)	Loss 26.4019 (28.3898)	Prec@1 5.469 (4.165)	Prec@5 23.047 (20.861)
2021-09-26 13:40:59 - INFO - TRAINING - Epoch: [0][4600/7488]	Time 0.075 (0.073)	Data 0.000 (0.001)	Loss 31.1163 (28.3791)	Prec@1 2.734 (4.165)	Prec@5 18.359 (20.854)
2021-09-26 13:41:06 - INFO - TRAINING - Epoch: [0][4700/7488]	Time 0.069 (0.073)	Data 0.000 (0.001)	Loss 42.4890 (28.3838)	Prec@1 4.297 (4.168)	Prec@5 15.234 (20.847)
2021-09-26 13:41:14 - INFO - TRAINING - Epoch: [0][4800/7488]	Time 0.073 (0.073)	Data 0.000 (0.001)	Loss 36.6124 (28.4027)	Prec@1 3.516 (4.165)	Prec@5 19.141 (20.851)
2021-09-26 13:41:21 - INFO - TRAINING - Epoch: [0][4900/7488]	Time 0.072 (0.073)	Data 0.000 (0.001)	Loss 25.0932 (28.4115)	Prec@1 1.953 (4.168)	Prec@5 18.750 (20.859)
